i,x[i],f(x[i]),f'(x[i])
0,0,1,0.2
1,0.2,1.04,0.4
2,0.4,1.16,0.8
3,0.6,1.36,1.2
4,0.8,1.64,1.6
5,1,2,2
6,1.2,2.44,2.4
7,1.4,2.96,2.8
8,1.6,3.56,3.2
9,1.8,4.24,3.6
10,2,5,4
11,2.2,5.84,4.4
12,2.4,6.76,4.8
13,2.6,7.76,5.2
14,2.8,8.84,5.6
15,3,10,6
16,3.2,11.24,6.4
17,3.4,12.56,6.8
18,3.6,13.96,7.2
19,3.8,15.44,7.6
20,4,17,8
21,4.2,18.64,8.4
22,4.4,20.36,8.8
23,4.6,22.16,9.2
24,4.8,24.04,9.6
25,5,26,10
26,5.2,28.04,10.4
27,5.4,30.16,10.8
28,5.6,32.36,11.2
29,5.8,34.64,11.6
30,6,37,12
31,6.2,39.44,12.4
32,6.4,41.96,12.8
33,6.6,44.56,13.2
34,6.8,47.24,13.6
35,7,50,14
36,7.2,52.84,14.4
37,7.4,55.76,14.8
38,7.6,58.76,15.2
39,7.8,61.84,15.6
40,8,65,16
41,8.2,68.24,16.4
42,8.4,71.56,16.8
43,8.6,74.96,17.2
44,8.8,78.44,17.6
45,9,82,18
46,9.2,85.64,18.4
47,9.4,89.36,18.8
48,9.6,93.16,19.2
49,9.8,97.04,19.6
50,10,101,20
51,10.2,105.04,20.4
52,10.4,109.16,20.8
53,10.6,113.36,21.2
54,10.8,117.64,21.6
55,11,122,22
56,11.2,126.44,22.4
57,11.4,130.96,22.8
58,11.6,135.56,23.2
59,11.8,140.24,23.6
60,12,145,24
61,12.2,149.84,24.4
62,12.4,154.76,24.8
63,12.6,159.76,25.2
64,12.8,164.84,25.6
65,13,170,26
66,13.2,175.24,26.4
67,13.4,180.56,26.8
68,13.6,185.96,27.2
69,13.8,191.44,27.6
70,14,197,28
71,14.2,202.64,28.4
72,14.4,208.36,28.8
73,14.6,214.16,29.2
74,14.8,220.04,29.6
75,15,226,30
76,15.2,232.04,30.4
77,15.4,238.16,30.8
78,15.6,244.36,31.2
79,15.8,250.64,31.6
80,16,257,32
81,16.2,263.44,32.4
82,16.4,269.96,32.8
83,16.6,276.56,33.2
84,16.8,283.24,33.6
85,17,290,34
86,17.2,296.84,34.4
87,17.4,303.76,34.8
88,17.6,310.76,35.2
89,17.8,317.84,35.6
90,18,325,36
91,18.2,332.24,36.4
92,18.4,339.56,36.8
93,18.6,346.96,37.2
94,18.8,354.44,37.6
95,19,362,38
96,19.2,369.64,38.4
97,19.4,377.36,38.8
98,19.6,385.16,39.2
99,19.8,393.04,39.6
100,20,401,39.8
