"x"  ,  "tan(x)"
0.000  ,  0.000
0.063  ,  0.063
0.126  ,  0.126
0.188  ,  0.191
0.251  ,  0.257
0.314  ,  0.325
0.377  ,  0.396
0.440  ,  0.471
0.503  ,  0.550
0.565  ,  0.635
0.628  ,  0.727
0.691  ,  0.827
0.754  ,  0.939
0.817  ,  1.065
0.880  ,  1.209
0.942  ,  1.376
1.005  ,  1.576
1.068  ,  1.819
1.131  ,  2.125
1.194  ,  2.526
1.257  ,  3.078
1.319  ,  3.895
1.382  ,  5.242
1.445  ,  7.916
1.508  ,  15.895
1.571  ,  -272241.808
1.634  ,  -15.894
1.696  ,  -7.916
1.759  ,  -5.242
1.822  ,  -3.895
1.885  ,  -3.078
1.948  ,  -2.526
2.011  ,  -2.125
2.073  ,  -1.819
2.136  ,  -1.576
2.199  ,  -1.376
2.262  ,  -1.209
2.325  ,  -1.065
2.388  ,  -0.939
2.450  ,  -0.827
2.513  ,  -0.727
2.576  ,  -0.635
2.639  ,  -0.550
2.702  ,  -0.471
2.765  ,  -0.396
2.827  ,  -0.325
2.890  ,  -0.257
2.953  ,  -0.191
3.016  ,  -0.126
3.079  ,  -0.063
3.142  ,  0.000
3.204  ,  0.063
3.267  ,  0.126
3.330  ,  0.191
3.393  ,  0.257
3.456  ,  0.325
3.519  ,  0.396
3.581  ,  0.471
3.644  ,  0.550
3.707  ,  0.635
3.770  ,  0.727
3.833  ,  0.827
3.896  ,  0.939
3.958  ,  1.065
4.021  ,  1.209
4.084  ,  1.376
4.147  ,  1.576
4.210  ,  1.819
4.273  ,  2.125
4.335  ,  2.526
4.398  ,  3.078
4.461  ,  3.895
4.524  ,  5.242
4.587  ,  7.916
4.650  ,  15.897
4.712  ,  -90747.269
4.775  ,  -15.892
4.838  ,  -7.915
4.901  ,  -5.242
4.964  ,  -3.895
5.027  ,  -3.078
5.089  ,  -2.526
5.152  ,  -2.125
5.215  ,  -1.819
5.278  ,  -1.576
5.341  ,  -1.376
5.404  ,  -1.209
5.466  ,  -1.065
5.529  ,  -0.939
5.592  ,  -0.827
5.655  ,  -0.727
5.718  ,  -0.635
5.781  ,  -0.550
5.843  ,  -0.471
5.906  ,  -0.396
5.969  ,  -0.325
6.032  ,  -0.257
6.095  ,  -0.191
6.158  ,  -0.126
6.220  ,  -0.063
6.283  ,  0.000
